index,author,tweet,label,polarity,nouns
1,@WSMV,Elizabeth Thomas is expected to be reunited with her family in Columbia TN today:,Negative,-0.1,['elizabeth thomas', 'columbia tn']
2,@KaraApel,Elizabeth Thomas is expected to be reunited with her family in Columbia TN today:,Negative,-0.1,['elizabeth thomas', 'columbia tn']
3,@ghers2686,Tip led authorities to rescue missing 15-year-old teen arrest former teacher at commune in Northern California.,Negative,-0.0625,['tip', '15-year-old teen arrest', 'california']
14,@WHAS11DRose,COMING UP ON GMA: Missing Tennessee student Elizabeth Thomas found former teacher Tad Cummins arrested in Califor…,Negative,-0.1,['coming up on gma', 'missing tennessee', 'elizabeth thomas', 'tad cummins', 'califor…']
15,@jedwardslaw,COMING UP ON Missing Tennessee student Elizabeth Thomas found former teacher Tad Cummins arrested in California,Negative,-0.1,['coming up on missing tennessee', 'elizabeth thomas', 'tad cummins', 'california']
16,@jatkins93,COMING UP ON Missing Tennessee student Elizabeth Thomas found former teacher Tad Cummins arrested in California,Negative,-0.1,['coming up on missing tennessee', 'elizabeth thomas', 'tad cummins', 'california']
17,@JamieMalaterra,Authorities say alleged kidnapper Tad Cummins and 15-year-old Elizabeth Thomas of Tennessee found in cabin in remote S…,Negative,-0.1,['authorities', 'tad cummins', 'elizabeth thomas', 'tennessee', 's…']
18,@IfedibaChikodi1,JUST IN: Tennessee teacher arrested 15-year-old student Elizabeth Thomas found safe in California authorities say,Positive,0.5,['just in', 'tennessee', '15-year-old student', 'elizabeth thomas', 'california']
19,@GMA,COMING UP ON Missing Tennessee student Elizabeth Thomas found former teacher Tad Cummins arrested in Califor…,Negative,-0.1,['coming up on missing tennessee', 'elizabeth thomas', 'tad cummins', 'califor…']
20,@tammytabby,Tennessee Amber Alert over: Tip leads authorities to Tad Cummins Elizabeth Thomas in,Neutral,0.0,['tennessee amber alert', 'tip', 'tad cummins elizabeth thomas']
21,@LazMxm,Tennessee Amber Alert over: Tip leads authorities to Tad Cummins Elizabeth Thomas in California,Neutral,0.0,['tennessee amber alert', 'tip', 'tad cummins elizabeth thomas', 'california']
22,@California24x7,Missing Tenn. student Elizabeth Thomas found former teacher Tad Cummins arrested in California - ABC News,Negative,-0.1,['missing tenn.', 'elizabeth thomas', 'tad cummins', 'california', 'abc']
23,@clanu2,Tennessee Amber Alert over: Tip leads authorities to Tad Cummins Elizabeth Thomas in California,Neutral,0.0,['tennessee amber alert', 'tip', 'tad cummins elizabeth thomas', 'california']
24,@CynthiaBuckwalt,BREAKING: Statement from Maury County Schools after Elizabeth Thomas found safe former teacher arrested:,Positive,0.25,['breaking', 'statement', 'maury', 'county schools', 'elizabeth thomas']
25,@HatTrixMedia,1500 tips received since March 13th disappearance of Elizabeth Thomas.,Neutral,0.0,['march', 'elizabeth thomas']
26,@CynthiaBuckwalt,Authorities say alleged kidnapper Tad Cummins and 15-year-old Elizabeth Thomas of Tennessee found in cabin in remote S…,Negative,-0.1,['authorities', 'tad cummins', 'elizabeth thomas', 'tennessee', 's…']
27,@HarrietBaldwin,Tennessee Amber Alert over: Tip leads authorities to Tad Cummins Elizabeth Thomas in California,Neutral,0.0,['tennessee amber alert', 'tip', 'tad cummins elizabeth thomas', 'california']
28,@cvhawkins,Elizabeth Thomas: Missing student found former teacher arrested via,Negative,-0.1,['elizabeth thomas', 'missing']
29,@KaraApel,This is the cabin where Tad Cummins and Elizabeth Thomas were staying at in Northern CA. It had 2 cots and no power…,Neutral,0.0,['tad cummins', 'elizabeth thomas', 'ca']
30,@WSMV,This is the cabin where Tad Cummins and Elizabeth Thomas were staying at in Northern CA. It had 2 cots and no power…,Neutral,0.0,['tad cummins', 'elizabeth thomas', 'ca']
31,@LorincJohn,Missing TN Teen Elizabeth Thomas heads home today while her alleged kidnapper heads to court. Sonia Moghe is LIVE,Negative,-0.04090909090909092,['missing tn teen elizabeth thomas', 'kidnapper heads', 'sonia moghe', 'live']
32,@realAnuragJ,Tennessee Amber Alert over: Tip leads authorities to Tad Cummins Elizabeth Thomas in California,Neutral,0.0,['tennessee amber alert', 'tip', 'tad cummins elizabeth thomas', 'california']
33,@celeste_ex,Tennessee Amber Alert over: Tip leads authorities to Tad Cummins Elizabeth Thomas in California,Neutral,0.0,['tennessee amber alert', 'tip', 'tad cummins elizabeth thomas', 'california']
34,@Nashville_NC,Nashville News Nashville native helped lead police to Tad Cummins Elizabeth Thomas,Neutral,0.0,['nashville', 'nashville', 'lead police', 'tad cummins elizabeth thomas']
35,@DrewWBIR,Join us on this morning for the latest from Columbia TN as Elizabeth Thomas is expected to come home today,Positive,0.2,['join', 'columbia tn', 'elizabeth thomas']
36,@Politcswatch,Tennessee Amber Alert over: Tip leads authorities to Tad Cummins Elizabeth Thomas in California,Neutral,0.0,['tennessee amber alert', 'tip', 'tad cummins elizabeth thomas', 'california']
37,@blondeUSA,Tennessee Amber Alert over: Tip leads authorities to Tad Cummins Elizabeth Thomas in California,Neutral,0.0,['tennessee amber alert', 'tip', 'tad cummins elizabeth thomas', 'california']
38,@mstarktweets,"We broke out into tears on the phone." Friends and family react to Elizabeth Thomas being been found: via,Neutral,0.0,['elizabeth thomas']
39,@dbaug57942,Tennessee Amber Alert over: Tip leads authorities to Tad Cummins Elizabeth Thomas in California,Neutral,0.0,['tennessee amber alert', 'tip', 'tad cummins elizabeth thomas', 'california']
40,@San24Jess,Now that Elizabeth Thomas has been found can the FBI find some time to look for the missing DC girls?,Negative,-0.2,['elizabeth thomas', 'dc']
41,@mstarktweets,Here's how authorities finally got suspected kidnapper Tad Cummins... via,Neutral,0.0,['tad cummins']
42,@AKirklen,Tad Cummins arrested Elizabeth Thomas rescued in Northern California,Neutral,0.0,['tad cummins', 'elizabeth thomas', 'california']
43,@madisoncwade,Join us on this morning for the latest from Columbia TN as Elizabeth Thomas is expected to come home today,Positive,0.2,['join', 'columbia tn', 'elizabeth thomas']
44,@LawrenceCOEM,dhs_jules: WSMV: Here is everything we know so far about the rescue of Elizabeth Thomas and the arrest of Tad C…,Positive,0.025,['wsmv', 'elizabeth thomas', 'tad c…']
45,@donie,I'm reporting from Columbia TN today where the family of kidnapped 15-year-old Elizabeth Thomas is anxiously awaiting bei…,Negative,-0.25,['columbia tn', 'elizabeth thomas']
46,@booperdakitty,SOME GOOD NEWS ⤵#ElizabethThomas SAFE#TadCummins ARRESTED#BreakingNews,Positive,0.7,['some good news', '⤵ #', 'elizabeththomas safe', 'tadcummins arrested', 'breakingnews']
47,@gahome1,Tennessee Amber Alert over: Tip leads authorities to Tad Cummins Elizabeth Thomas in California,Neutral,0.0,['tennessee amber alert', 'tip', 'tad cummins elizabeth thomas', 'california']
48,@darthur111,Tennessee Amber Alert over: Tip leads authorities to Tad Cummins Elizabeth Thomas in California,Neutral,0.0,['tennessee amber alert', 'tip', 'tad cummins elizabeth thomas', 'california']
49,@hscleasby,Tennessee amber alert: Missing teen Elizabeth Thomas found suspect Tad Cummins arrested – TomoNews NEWS &gt&gt,Negative,-0.1,['tennessee', 'missing', 'elizabeth thomas', 'tad cummins', 'tomonews news']
50,@soniamoghe,I'm reporting from Columbia TN today where the family of kidnapped 15-year-old Elizabeth Thomas is anxiously awai…,Negative,-0.25,['columbia tn', 'elizabeth thomas']
51,@MylerTardis,Tip led authorities to rescue missing 15-year-old teen arrest former teacher at commune in Northern California.,Negative,-0.0625,['tip', '15-year-old teen arrest', 'california']
52,@CamideoCom,Elizabeth Thomas - YouTube Search - YouTube Video Page 1 | Camideo,Neutral,0.0,['elizabeth thomas', 'youtube search', 'youtube video page', 'camideo']
53,@SATX19,THEY FOUND ELIZABETH THOMAS!!! ♡,Neutral,0.0,['they found elizabeth thomas']
54,@VeoUSA_,Missing student Elizabeth Thomas found teacher arrested in California,Negative,-0.2,['missing', 'elizabeth thomas', 'california']
55,@Halfpintspoint,.@WSMVDemetria is live in Siskiyou County CA to report on latest developments in Elizabeth Thomas rescue.,Positive,0.3181818181818182,['wsmvdemetria', 'siskiyou', 'ca', 'elizabeth thomas']
56,@AmyDeLauraWSET,Tip led authorities to rescue missing 15-year-old teen arrest former teacher at commune in Northern California.,Negative,-0.0625,['tip', '15-year-old teen arrest', 'california']
57,@KathyUsher1,Tennessee Amber Alert over: Tip leads authorities to Tad Cummins Elizabeth Thomas in California,Neutral,0.0,['tennessee amber alert', 'tip', 'tad cummins elizabeth thomas', 'california']
58,@ThePeopleofUSA,Tennessee Amber Alert over: Tip leads authorities to Tad Cummins Elizabeth Thomas in California,Neutral,0.0,['tennessee amber alert', 'tip', 'tad cummins elizabeth thomas', 'california']
59,@newschannelnine,Boy are we ever glad to report this: Tip leads to safe return of AMBER Alert victim ex-teacher Cummins arrested:,Positive,0.30833333333333335,['tip', 'safe return', 'amber alert', 'victim ex-teacher', 'cummins']
60,@CJsweetpea02,BREAKING: Former Tennessee teacher Tad Cummins under arrest Elizabeth Thomas safely recovered in Northern California authorities…,Positive,0.15,['breaking', 'tennessee', 'tad cummins', 'elizabeth thomas', 'california']
61,@YaremiNEWS,Teacher said he was "glad it was over" when authorities tracked him down and his 15-year-old student,Positive,0.17222222222222222,['teacher', '15-year-old student']
62,@CBS12,Teacher said he was "glad it was over" when authorities tracked him down and his 15-year-old student,Positive,0.17222222222222222,['teacher', '15-year-old student']
63,@dhs_jules,Here is everything we know so far about the rescue of Elizabeth Thomas and the arrest of Tad Cummins: htt…,Positive,0.025,['elizabeth thomas', 'tad cummins']
64,@Gabbs07,"This afternoon we couldn't be happier to tell you [Elizabeth Thomas] will soon be on her way back home to Tennessee." -…,Neutral,0.0,['elizabeth thomas', 'tennessee']
65,@victoriangraham,Federal charges have been filed against Cummins in kidnapping of Elizabeth Thomas. He'll face a minimum of 10 years in…,Neutral,0.0,['federal charges', 'cummins', 'elizabeth thomas', 'years in…']
66,@abc3340,Tip leads to safe return of AMBER Alert victim ex-teacher Tad Cummins arrested,Positive,0.2125,['tip', 'safe return', 'amber alert', 'victim ex-teacher', 'tad cummins']
67,@victoriangraham,Maury Co. Schools releases a statement on the safe return of Elizabeth Thomas.,Positive,0.5,['maury', 'co. schools releases', 'safe return', 'elizabeth thomas']
68,@victoriangraham,BREAKING: Statement from Maury County Schools after Elizabeth Thomas found safe former teacher arrested:,Positive,0.25,['breaking', 'statement', 'maury', 'county schools', 'elizabeth thomas']
69,@Gabbs07,Authorities say alleged kidnapper Tad Cummins and 15-year-old Elizabeth Thomas of Tennessee found in cabin in remote S…,Negative,-0.1,['authorities', 'tad cummins', 'elizabeth thomas', 'tennessee', 's…']
70,@whiskeyoblivion,NEW DETAILS: Tad Cummins introduced student Elizabeth Thomas as his wife according to the cabin owner’s friend.,Positive,0.13636363636363635,['new details', 'tad cummins', 'elizabeth thomas', 'cabin owner’s friend']
71,@worldnews_net,Tennessee amber alert: Missing teen Elizabeth Thomas found suspect Tad Cummins arrested – TomoNews NEWS &gt&gt,Negative,-0.1,['tennessee', 'missing', 'elizabeth thomas', 'tad cummins', 'tomonews news']
72,@Melissa88302960,Tennessee Amber Alert over: Tip leads authorities to Tad Cummins Elizabeth Thomas in California,Neutral,0.0,['tennessee amber alert', 'tip', 'tad cummins elizabeth thomas', 'california']
73,@Clt_TrafficGuy,Tip led authorities to rescue missing 15-year-old teen arrest former teacher at commune in Northern California.,Negative,-0.0625,['tip', '15-year-old teen arrest', 'california']
74,@worldnews_net,Missing teen found in cabin teacher arrested,Negative,-0.1,['missing', 'cabin teacher']
75,@SuzanneBoyd,Teacher said he was "glad it was over" when authorities tracked him down and his 15-year-old student…,Positive,0.17222222222222222,['teacher', '15-year-old student…']
76,@newscomauHQ,Missing teen found in cabin teacher arrested,Negative,-0.1,['missing', 'cabin teacher']
77,@CaitlinCorry,Tip led authorities to rescue missing 15-year-old teen arrest former teacher at commune in Northern California.,Negative,-0.0625,['tip', '15-year-old teen arrest', 'california']
78,@WSMVAlanna,.@WSMVDemetria is live in Siskiyou County CA to report on latest developments in Elizabeth Thomas rescue.,Positive,0.3181818181818182,['wsmvdemetria', 'siskiyou', 'ca', 'elizabeth thomas']
79,@missymensah172,BREAKING: Amber Alert suspect Tad Cummins is under arrest  Elizabeth Thomas has been safely recovered in Northern Califor…,Positive,0.225,['breaking', 'amber alert', 'tad cummins', 'elizabeth thomas', 'califor…']
80,@CarlaLaw7,Tennessee Amber Alert over: Tip leads authorities to Tad Cummins Elizabeth Thomas in California,Neutral,0.0,['tennessee amber alert', 'tip', 'tad cummins elizabeth thomas', 'california']
81,@IsThisShitOn,Tip led authorities to rescue missing 15-year-old teen arrest former teacher at commune in Northern California.,Negative,-0.0625,['tip', '15-year-old teen arrest', 'california']
82,@KatieWGME,Major updates this morning - we are following them on,Positive,0.03125,['major updates']
83,@KnowYourLeaker,Tennessee Amber Alert: Missing Teen Elizabeth Thomas Found Suspect Tad Cumm (pls RT↺❤️) ️️,Negative,-0.1,['tennessee amber alert', 'missing teen elizabeth thomas found suspect tad cumm', 'rt↺❤️']
84,@grdygee,Tip led authorities to rescue missing 15-year-old teen arrest former teacher at commune in Northern California.,Negative,-0.0625,['tip', '15-year-old teen arrest', 'california']
85,@whatdomanwant,Tennessee Teacher Tad Cummins Arrested in California Teen Elizabeth Thomas Safe,Positive,0.25,['tennessee teacher tad cummins arrested', 'california teen elizabeth thomas safe']
86,@politricks_1,Missing student Elizabeth Thomas found teacher arrested in California,Negative,-0.2,['missing', 'elizabeth thomas', 'california']
87,@kooldroidapps,6. 4/20 7. Cleveland Cavaliers (★New) 8. Dallas Cowboys Schedule (↑) 9. The Promise (↓) 10. Elizabeth Thomas (↓),Neutral,0.0,['cleveland cavaliers', 'dallas cowboys schedule', 'promise', 'elizabeth thomas']
88,@ebayian,6. 4/20 7. Cleveland Cavaliers (★New) 8. Dallas Cowboys Schedule (↑) 9. The Promise (↓) 10. Elizabeth Thomas (↓),Neutral,0.0,['cleveland cavaliers', 'dallas cowboys schedule', 'promise', 'elizabeth thomas']
89,@wbir,Cabin caretaker called in tip about Tad Cummins and Elizabeth Thomas,Neutral,0.0,['cabin', 'tad cummins', 'elizabeth thomas']
90,@QMB810,Tip led authorities to rescue missing 15-year-old teen arrest former teacher at commune in Northern California.,Negative,-0.0625,['tip', '15-year-old teen arrest', 'california']
91,@TheMichiWay3,Tennessee Amber Alert over: Tip leads authorities to Tad Cummins Elizabeth Thomas in California,Neutral,0.0,['tennessee amber alert', 'tip', 'tad cummins elizabeth thomas', 'california']
92,@KaraApel,Channel 4 News Today is live in Northern California this morning with the latest on the Elizabeth Thomas case. Stay…,Positive,0.3181818181818182,['california', 'elizabeth thomas', 'stay…']
93,@lookmaker123,How authorities found missing Tenn. student Elizabeth Thomas and former teacher Tad Cummins via,Negative,-0.1,['tenn.', 'elizabeth thomas', 'tad cummins']
94,@MattWPDE,Updates on Tad Cummins being captured and Elizabeth Thomas being found safe next on on…,Positive,0.25,['updates', 'tad cummins', 'elizabeth thomas']
95,@WSMV,Here is everything we know so far about the rescue of Elizabeth Thomas and the arrest of Tad Cummins:…,Positive,0.025,['elizabeth thomas', 'tad cummins']
96,@KaraApel,Here is everything we know so far about the rescue of Elizabeth Thomas and the arrest of Tad Cummins:…,Positive,0.025,['elizabeth thomas', 'tad cummins']
97,@tubenewsen,Tennessee amber alert: Missing teen Elizabeth Thomas found suspect Tad Cummins arrested – TomoNews NEWS &gt&gt…,Negative,-0.1,['tennessee', 'missing', 'elizabeth thomas', 'tad cummins', 'tomonews news']
98,@Denise75384378,Tennessee Amber Alert over: Tip leads authorities to Tad Cummins Elizabeth Thomas in California,Neutral,0.0,['tennessee amber alert', 'tip', 'tad cummins elizabeth thomas', 'california']
99,@reck1951,Tennessee Amber Alert over: Tip leads authorities to Tad Cummins Elizabeth Thomas in California,Neutral,0.0,['tennessee amber alert', 'tip', 'tad cummins elizabeth thomas', 'california']
100,@VeoNews_,Missing student Elizabeth Thomas found teacher arrested in California,Negative,-0.2,['missing', 'elizabeth thomas', 'california']
